/* DATA DESCRIPTION:
Citation:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas carbon dioxide (CO2), final spline-smoothed data of calculated radiative forcing (Version 1) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871271, 
	In supplement to: Köhler, P et al. (2017): A 156 kyr smoothed history of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing. Earth System Science Data, 9(1), 363-387, https://doi.org/10.5194/essd-9-363-2017
New version:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas carbon dioxide (CO2), final spline-smoothed data of calculated radiative forcing (Version 2). PANGAEA, https://doi.org/10.1594/PANGAEA.876013
Related to:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous records of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing since the penultimate glacial maximum. Earth System Science Data Discussions, https://doi.org/10.5194/essd-2017-6
Comment:	Final spline with 156373 lines (-66 BP to 156306 BP).
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html)
	Carbon dioxide, dry-air mole fraction [µmol/mol] (CO2) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: µmol/mol = ppm
	Radiative forcing of atmospheric carbon dioxide [W/m**2] (dR_[CO2]) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: = 5.35 * ln(CO2/(278 ppm))
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	312746 data points
*/
Age [ka BP]	CO2 [µmol/mol]	dR_[CO2] [W/m**2]
6.838	261.26	-0.332
6.839	261.26	-0.332
6.840	261.26	-0.332
6.841	261.25	-0.332
6.842	261.25	-0.332
6.843	261.25	-0.332
6.844	261.25	-0.333
6.845	261.25	-0.333
6.846	261.24	-0.333
6.847	261.24	-0.333
6.848	261.24	-0.333
6.849	261.24	-0.333
6.850	261.23	-0.333
6.851	261.23	-0.333
6.852	261.23	-0.333
6.853	261.23	-0.333
6.854	261.23	-0.333
6.855	261.22	-0.333
6.856	261.22	-0.333
6.857	261.22	-0.333
6.858	261.22	-0.333
6.859	261.21	-0.333
6.860	261.21	-0.333
6.861	261.21	-0.333
6.862	261.21	-0.333
6.863	261.21	-0.333
6.864	261.20	-0.333
6.865	261.20	-0.333
6.866	261.20	-0.333
6.867	261.20	-0.334
6.868	261.20	-0.334
6.869	261.19	-0.334
6.870	261.19	-0.334
6.871	261.19	-0.334
6.872	261.19	-0.334
6.873	261.18	-0.334
6.874	261.18	-0.334
6.875	261.18	-0.334
6.876	261.18	-0.334
6.877	261.18	-0.334
6.878	261.17	-0.334
6.879	261.17	-0.334
6.880	261.17	-0.334
6.881	261.17	-0.334
6.882	261.17	-0.334
6.883	261.16	-0.334
6.884	261.16	-0.334
6.885	261.16	-0.334
6.886	261.16	-0.334
6.887	261.16	-0.334
6.888	261.15	-0.334
6.889	261.15	-0.334
6.890	261.15	-0.335
6.891	261.15	-0.335
6.892	261.15	-0.335
6.893	261.14	-0.335
6.894	261.14	-0.335
6.895	261.14	-0.335
6.896	261.14	-0.335
6.897	261.13	-0.335
6.898	261.13	-0.335
6.899	261.13	-0.335
6.900	261.13	-0.335
6.901	261.13	-0.335
6.902	261.12	-0.335
6.903	261.12	-0.335
6.904	261.12	-0.335
6.905	261.12	-0.335
6.906	261.12	-0.335
6.907	261.11	-0.335
6.908	261.11	-0.335
6.909	261.11	-0.335
6.910	261.11	-0.335
6.911	261.11	-0.335
6.912	261.10	-0.335
6.913	261.10	-0.336
6.914	261.10	-0.336
6.915	261.10	-0.336
6.916	261.10	-0.336
6.917	261.09	-0.336
6.918	261.09	-0.336
6.919	261.09	-0.336
6.920	261.09	-0.336
6.921	261.09	-0.336
6.922	261.08	-0.336
6.923	261.08	-0.336
6.924	261.08	-0.336
6.925	261.08	-0.336
6.926	261.08	-0.336
6.927	261.07	-0.336
6.928	261.07	-0.336
6.929	261.07	-0.336
6.930	261.07	-0.336
6.931	261.07	-0.336
6.932	261.06	-0.336
6.933	261.06	-0.336
6.934	261.06	-0.336
6.935	261.06	-0.336
6.936	261.06	-0.336
6.937	261.05	-0.336
6.938	261.05	-0.337
6.939	261.05	-0.337
6.940	261.05	-0.337
6.941	261.05	-0.337
6.942	261.04	-0.337
6.943	261.04	-0.337
6.944	261.04	-0.337
6.945	261.04	-0.337
6.946	261.04	-0.337
6.947	261.03	-0.337
6.948	261.03	-0.337
6.949	261.03	-0.337
6.950	261.03	-0.337
6.951	261.03	-0.337
6.952	261.02	-0.337
6.953	261.02	-0.337
6.954	261.02	-0.337
6.955	261.02	-0.337
6.956	261.02	-0.337
6.957	261.01	-0.337
6.958	261.01	-0.337
6.959	261.01	-0.337
6.960	261.01	-0.337
6.961	261.01	-0.337
6.962	261.01	-0.337
6.963	261.00	-0.338
6.964	261.00	-0.338
6.965	261.00	-0.338
6.966	261.00	-0.338
6.967	261.00	-0.338
6.968	260.99	-0.338
6.969	260.99	-0.338
6.970	260.99	-0.338
6.971	260.99	-0.338
6.972	260.99	-0.338
6.973	260.98	-0.338
6.974	260.98	-0.338
6.975	260.98	-0.338
6.976	260.98	-0.338
6.977	260.98	-0.338
6.978	260.97	-0.338
6.979	260.97	-0.338
6.980	260.97	-0.338
6.981	260.97	-0.338
6.982	260.97	-0.338
6.983	260.97	-0.338
6.984	260.96	-0.338
6.985	260.96	-0.338
6.986	260.96	-0.338
6.987	260.96	-0.338
6.988	260.96	-0.338
6.989	260.95	-0.339
6.990	260.95	-0.339
6.991	260.95	-0.339
6.992	260.95	-0.339
6.993	260.95	-0.339
6.994	260.94	-0.339
6.995	260.94	-0.339
6.996	260.94	-0.339
6.997	260.94	-0.339
6.998	260.94	-0.339
6.999	260.94	-0.339
7.000	260.93	-0.339
7.001	260.93	-0.339
7.002	260.93	-0.339
7.003	260.93	-0.339
7.004	260.93	-0.339
7.005	260.92	-0.339
7.006	260.92	-0.339
7.007	260.92	-0.339
7.008	260.92	-0.339
7.009	260.92	-0.339
7.010	260.92	-0.339
7.011	260.91	-0.339
7.012	260.91	-0.339
7.013	260.91	-0.339
7.014	260.91	-0.339
7.015	260.91	-0.340
7.016	260.90	-0.340
7.017	260.90	-0.340
7.018	260.90	-0.340
7.019	260.90	-0.340
7.020	260.90	-0.340
7.021	260.90	-0.340
7.022	260.89	-0.340
7.023	260.89	-0.340
7.024	260.89	-0.340
7.025	260.89	-0.340
7.026	260.89	-0.340
7.027	260.89	-0.340
7.028	260.88	-0.340
7.029	260.88	-0.340
7.030	260.88	-0.340
7.031	260.88	-0.340
7.032	260.88	-0.340
7.033	260.87	-0.340
7.034	260.87	-0.340
7.035	260.87	-0.340
7.036	260.87	-0.340
7.037	260.87	-0.340
7.038	260.87	-0.340
7.039	260.86	-0.340
7.040	260.86	-0.340
7.041	260.86	-0.340
7.042	260.86	-0.340
7.043	260.86	-0.341
7.044	260.86	-0.341
7.045	260.85	-0.341
7.046	260.85	-0.341
7.047	260.85	-0.341
7.048	260.85	-0.341
7.049	260.85	-0.341
7.050	260.84	-0.341
7.051	260.84	-0.341
7.052	260.84	-0.341
7.053	260.84	-0.341
7.054	260.84	-0.341
7.055	260.84	-0.341
7.056	260.83	-0.341
7.057	260.83	-0.341
7.058	260.83	-0.341
7.059	260.83	-0.341
7.060	260.83	-0.341
7.061	260.83	-0.341
7.062	260.82	-0.341
7.063	260.82	-0.341
7.064	260.82	-0.341
7.065	260.82	-0.341
7.066	260.82	-0.341
7.067	260.82	-0.341
7.068	260.81	-0.341
7.069	260.81	-0.341
7.070	260.81	-0.341
7.071	260.81	-0.341
7.072	260.81	-0.342
7.073	260.81	-0.342
7.074	260.80	-0.342
7.075	260.80	-0.342
7.076	260.80	-0.342
7.077	260.80	-0.342
7.078	260.80	-0.342
7.079	260.80	-0.342
7.080	260.79	-0.342
7.081	260.79	-0.342
7.082	260.79	-0.342
7.083	260.79	-0.342
7.084	260.79	-0.342
7.085	260.79	-0.342
7.086	260.78	-0.342
7.087	260.78	-0.342
7.088	260.78	-0.342
7.089	260.78	-0.342
7.090	260.78	-0.342
7.091	260.78	-0.342
7.092	260.77	-0.342
7.093	260.77	-0.342
7.094	260.77	-0.342
7.095	260.77	-0.342
7.096	260.77	-0.342
7.097	260.77	-0.342
7.098	260.76	-0.342
7.099	260.76	-0.342
7.100	260.76	-0.342
7.101	260.76	-0.343
7.102	260.76	-0.343
7.103	260.76	-0.343
7.104	260.75	-0.343
7.105	260.75	-0.343
7.106	260.75	-0.343
7.107	260.75	-0.343
7.108	260.75	-0.343
7.109	260.75	-0.343
7.110	260.75	-0.343
7.111	260.74	-0.343
7.112	260.74	-0.343
7.113	260.74	-0.343
7.114	260.74	-0.343
7.115	260.74	-0.343
7.116	260.74	-0.343
7.117	260.73	-0.343
7.118	260.73	-0.343
7.119	260.73	-0.343
7.120	260.73	-0.343
7.121	260.73	-0.343
7.122	260.73	-0.343
7.123	260.72	-0.343
7.124	260.72	-0.343
7.125	260.72	-0.343
7.126	260.72	-0.343
7.127	260.72	-0.343
7.128	260.72	-0.343
7.129	260.72	-0.343
7.130	260.71	-0.343
7.131	260.71	-0.343
7.132	260.71	-0.344
7.133	260.71	-0.344
7.134	260.71	-0.344
7.135	260.71	-0.344
7.136	260.70	-0.344
7.137	260.70	-0.344
7.138	260.70	-0.344
7.139	260.70	-0.344
7.140	260.70	-0.344
7.141	260.70	-0.344
7.142	260.69	-0.344
7.143	260.69	-0.344
7.144	260.69	-0.344
7.145	260.69	-0.344
7.146	260.69	-0.344
7.147	260.69	-0.344
7.148	260.69	-0.344
7.149	260.68	-0.344
7.150	260.68	-0.344
7.151	260.68	-0.344
7.152	260.68	-0.344
7.153	260.68	-0.344
7.154	260.68	-0.344
7.155	260.67	-0.344
7.156	260.67	-0.344
7.157	260.67	-0.344
7.158	260.67	-0.344
7.159	260.67	-0.344
7.160	260.67	-0.344
7.161	260.67	-0.344
7.162	260.66	-0.344
7.163	260.66	-0.345
7.164	260.66	-0.345
7.165	260.66	-0.345
7.166	260.66	-0.345
7.167	260.66	-0.345
7.168	260.65	-0.345
7.169	260.65	-0.345
7.170	260.65	-0.345
7.171	260.65	-0.345
7.172	260.65	-0.345
7.173	260.65	-0.345
7.174	260.65	-0.345
7.175	260.64	-0.345
7.176	260.64	-0.345
7.177	260.64	-0.345
7.178	260.64	-0.345
7.179	260.64	-0.345
7.180	260.64	-0.345
7.181	260.64	-0.345
7.182	260.63	-0.345
7.183	260.63	-0.345
7.184	260.63	-0.345
7.185	260.63	-0.345
7.186	260.63	-0.345
7.187	260.63	-0.345
7.188	260.62	-0.345
7.189	260.62	-0.345
7.190	260.62	-0.345
7.191	260.62	-0.345
7.192	260.62	-0.345
7.193	260.62	-0.345
7.194	260.62	-0.345
7.195	260.61	-0.346
7.196	260.61	-0.346
7.197	260.61	-0.346
7.198	260.61	-0.346
7.199	260.61	-0.346
7.200	260.61	-0.346
7.201	260.61	-0.346
7.202	260.60	-0.346
7.203	260.60	-0.346
7.204	260.60	-0.346
7.205	260.60	-0.346
7.206	260.60	-0.346
7.207	260.60	-0.346
7.208	260.59	-0.346
7.209	260.59	-0.346
7.210	260.59	-0.346
7.211	260.59	-0.346
7.212	260.59	-0.346
7.213	260.59	-0.346
7.214	260.59	-0.346
7.215	260.58	-0.346
7.216	260.58	-0.346
7.217	260.58	-0.346
7.218	260.58	-0.346
7.219	260.58	-0.346
7.220	260.58	-0.346
7.221	260.58	-0.346
7.222	260.57	-0.346
7.223	260.57	-0.346
7.224	260.57	-0.346
7.225	260.57	-0.346
7.226	260.57	-0.346
7.227	260.57	-0.346
7.228	260.57	-0.347
7.229	260.56	-0.347
7.230	260.56	-0.347
7.231	260.56	-0.347
7.232	260.56	-0.347
7.233	260.56	-0.347
7.234	260.56	-0.347
7.235	260.56	-0.347
7.236	260.55	-0.347
7.237	260.55	-0.347
7.238	260.55	-0.347
7.239	260.55	-0.347
7.240	260.55	-0.347
7.241	260.55	-0.347
7.242	260.55	-0.347
7.243	260.54	-0.347
7.244	260.54	-0.347
7.245	260.54	-0.347
7.246	260.54	-0.347
7.247	260.54	-0.347
7.248	260.54	-0.347
7.249	260.54	-0.347
7.250	260.53	-0.347
7.251	260.53	-0.347
7.252	260.53	-0.347
7.253	260.53	-0.347
7.254	260.53	-0.347
7.255	260.53	-0.347
7.256	260.52	-0.347
7.257	260.52	-0.347
7.258	260.52	-0.347
7.259	260.52	-0.347
7.260	260.52	-0.347
7.261	260.52	-0.347
7.262	260.52	-0.348
7.263	260.51	-0.348
7.264	260.51	-0.348
7.265	260.51	-0.348
7.266	260.51	-0.348
7.267	260.51	-0.348
7.268	260.51	-0.348
7.269	260.51	-0.348
7.270	260.50	-0.348
7.271	260.50	-0.348
7.272	260.50	-0.348
7.273	260.50	-0.348
7.274	260.50	-0.348
7.275	260.50	-0.348
7.276	260.50	-0.348
7.277	260.49	-0.348
7.278	260.49	-0.348
7.279	260.49	-0.348
7.280	260.49	-0.348
7.281	260.49	-0.348
7.282	260.49	-0.348
7.283	260.49	-0.348
7.284	260.49	-0.348
7.285	260.48	-0.348
7.286	260.48	-0.348
7.287	260.48	-0.348
7.288	260.48	-0.348
7.289	260.48	-0.348
7.290	260.48	-0.348
7.291	260.48	-0.348
7.292	260.47	-0.348
7.293	260.47	-0.348
7.294	260.47	-0.348
7.295	260.47	-0.348
7.296	260.47	-0.349
7.297	260.47	-0.349
7.298	260.47	-0.349
7.299	260.46	-0.349
7.300	260.46	-0.349
7.301	260.46	-0.349
7.302	260.46	-0.349
7.303	260.46	-0.349
7.304	260.46	-0.349
7.305	260.46	-0.349
7.306	260.45	-0.349
7.307	260.45	-0.349
7.308	260.45	-0.349
7.309	260.45	-0.349
7.310	260.45	-0.349
7.311	260.45	-0.349
7.312	260.45	-0.349
7.313	260.44	-0.349
7.314	260.44	-0.349
7.315	260.44	-0.349
7.316	260.44	-0.349
7.317	260.44	-0.349
7.318	260.44	-0.349
7.319	260.44	-0.349
7.320	260.43	-0.349
7.321	260.43	-0.349
7.322	260.43	-0.349
7.323	260.43	-0.349
7.324	260.43	-0.349
7.325	260.43	-0.349
7.326	260.43	-0.349
7.327	260.42	-0.349
7.328	260.42	-0.349
7.329	260.42	-0.349
7.330	260.42	-0.349
7.331	260.42	-0.350
7.332	260.42	-0.350
7.333	260.42	-0.350
7.334	260.42	-0.350
7.335	260.41	-0.350
7.336	260.41	-0.350
7.337	260.41	-0.350
7.338	260.41	-0.350
7.339	260.41	-0.350
7.340	260.41	-0.350
7.341	260.41	-0.350
7.342	260.40	-0.350
7.343	260.40	-0.350
7.344	260.40	-0.350
7.345	260.40	-0.350
7.346	260.40	-0.350
7.347	260.40	-0.350
7.348	260.40	-0.350
7.349	260.39	-0.350
7.350	260.39	-0.350
7.351	260.39	-0.350
7.352	260.39	-0.350
7.353	260.39	-0.350
7.354	260.39	-0.350
7.355	260.39	-0.350
7.356	260.39	-0.350
7.357	260.38	-0.350
7.358	260.38	-0.350
7.359	260.38	-0.350
7.360	260.38	-0.350
7.361	260.38	-0.350
7.362	260.38	-0.350
7.363	260.38	-0.350
7.364	260.37	-0.350
7.365	260.37	-0.350
7.366	260.37	-0.350
7.367	260.37	-0.351
7.368	260.37	-0.351
7.369	260.37	-0.351
7.370	260.37	-0.351
7.371	260.37	-0.351
7.372	260.36	-0.351
7.373	260.36	-0.351
7.374	260.36	-0.351
7.375	260.36	-0.351
7.376	260.36	-0.351
7.377	260.36	-0.351
7.378	260.36	-0.351
7.379	260.35	-0.351
7.380	260.35	-0.351
7.381	260.35	-0.351
7.382	260.35	-0.351
7.383	260.35	-0.351
7.384	260.35	-0.351
7.385	260.35	-0.351
7.386	260.35	-0.351
7.387	260.34	-0.351
7.388	260.34	-0.351
7.389	260.34	-0.351
7.390	260.34	-0.351
7.391	260.34	-0.351
7.392	260.34	-0.351
7.393	260.34	-0.351
7.394	260.33	-0.351
7.395	260.33	-0.351
7.396	260.33	-0.351
7.397	260.33	-0.351
7.398	260.33	-0.351
7.399	260.33	-0.351
7.400	260.33	-0.351
7.401	260.33	-0.351
7.402	260.32	-0.351
7.403	260.32	-0.351
7.404	260.32	-0.352
7.405	260.32	-0.352
7.406	260.32	-0.352
7.407	260.32	-0.352
7.408	260.32	-0.352
7.409	260.32	-0.352
7.410	260.31	-0.352
7.411	260.31	-0.352
7.412	260.31	-0.352
7.413	260.31	-0.352
7.414	260.31	-0.352
7.415	260.31	-0.352
7.416	260.31	-0.352
7.417	260.30	-0.352
7.418	260.30	-0.352
7.419	260.30	-0.352
7.420	260.30	-0.352
7.421	260.30	-0.352
7.422	260.30	-0.352
7.423	260.30	-0.352
7.424	260.30	-0.352
7.425	260.29	-0.352
7.426	260.29	-0.352
7.427	260.29	-0.352
7.428	260.29	-0.352
7.429	260.29	-0.352
7.430	260.29	-0.352
7.431	260.29	-0.352
7.432	260.29	-0.352
7.433	260.28	-0.352
7.434	260.28	-0.352
7.435	260.28	-0.352
7.436	260.28	-0.352
7.437	260.28	-0.352
7.438	260.28	-0.352
7.439	260.28	-0.352
7.440	260.28	-0.352
7.441	260.27	-0.352
7.442	260.27	-0.353
7.443	260.27	-0.353
7.444	260.27	-0.353
7.445	260.27	-0.353
7.446	260.27	-0.353
7.447	260.27	-0.353
7.448	260.27	-0.353
7.449	260.26	-0.353
7.450	260.26	-0.353
7.451	260.26	-0.353
7.452	260.26	-0.353
7.453	260.26	-0.353
7.454	260.26	-0.353
7.455	260.26	-0.353
7.456	260.26	-0.353
7.457	260.25	-0.353
7.458	260.25	-0.353
7.459	260.25	-0.353
7.460	260.25	-0.353
7.461	260.25	-0.353
7.462	260.25	-0.353
7.463	260.25	-0.353
7.464	260.25	-0.353
7.465	260.24	-0.353
7.466	260.24	-0.353
7.467	260.24	-0.353
7.468	260.24	-0.353
7.469	260.24	-0.353
7.470	260.24	-0.353
7.471	260.24	-0.353
7.472	260.24	-0.353
7.473	260.24	-0.353
7.474	260.23	-0.353
7.475	260.23	-0.353
7.476	260.23	-0.353
7.477	260.23	-0.353
7.478	260.23	-0.353
7.479	260.23	-0.353
7.480	260.23	-0.353
7.481	260.23	-0.353
7.482	260.22	-0.354
7.483	260.22	-0.354
7.484	260.22	-0.354
7.485	260.22	-0.354
7.486	260.22	-0.354
7.487	260.22	-0.354
7.488	260.22	-0.354
7.489	260.22	-0.354
7.490	260.21	-0.354
7.491	260.21	-0.354
7.492	260.21	-0.354
7.493	260.21	-0.354
7.494	260.21	-0.354
7.495	260.21	-0.354
7.496	260.21	-0.354
7.497	260.21	-0.354
7.498	260.21	-0.354
7.499	260.20	-0.354
7.500	260.20	-0.354
7.501	260.20	-0.354
7.502	260.20	-0.354
7.503	260.20	-0.354
7.504	260.20	-0.354
7.505	260.20	-0.354
7.506	260.20	-0.354
7.507	260.20	-0.354
7.508	260.19	-0.354
7.509	260.19	-0.354
7.510	260.19	-0.354
7.511	260.19	-0.354
7.512	260.19	-0.354
7.513	260.19	-0.354
7.514	260.19	-0.354
7.515	260.19	-0.354
7.516	260.18	-0.354
7.517	260.18	-0.354
7.518	260.18	-0.354
7.519	260.18	-0.354
7.520	260.18	-0.354
7.521	260.18	-0.354
7.522	260.18	-0.354
7.523	260.18	-0.354
7.524	260.18	-0.355
7.525	260.17	-0.355
7.526	260.17	-0.355
7.527	260.17	-0.355
7.528	260.17	-0.355
7.529	260.17	-0.355
7.530	260.17	-0.355
7.531	260.17	-0.355
7.532	260.17	-0.355
7.533	260.17	-0.355
7.534	260.16	-0.355
7.535	260.16	-0.355
7.536	260.16	-0.355
7.537	260.16	-0.355
7.538	260.16	-0.355
7.539	260.16	-0.355
7.540	260.16	-0.355
7.541	260.16	-0.355
7.542	260.16	-0.355
7.543	260.16	-0.355
7.544	260.15	-0.355
7.545	260.15	-0.355
7.546	260.15	-0.355
7.547	260.15	-0.355
7.548	260.15	-0.355
7.549	260.15	-0.355
7.550	260.15	-0.355
7.551	260.15	-0.355
7.552	260.15	-0.355
7.553	260.14	-0.355
7.554	260.14	-0.355
7.555	260.14	-0.355
7.556	260.14	-0.355
7.557	260.14	-0.355
7.558	260.14	-0.355
7.559	260.14	-0.355
7.560	260.14	-0.355
7.561	260.14	-0.355
7.562	260.13	-0.355
7.563	260.13	-0.355
7.564	260.13	-0.355
7.565	260.13	-0.355
7.566	260.13	-0.355
7.567	260.13	-0.355
7.568	260.13	-0.355
7.569	260.13	-0.355
7.570	260.13	-0.356
7.571	260.13	-0.356
7.572	260.12	-0.356
7.573	260.12	-0.356
7.574	260.12	-0.356
7.575	260.12	-0.356
7.576	260.12	-0.356
7.577	260.12	-0.356
7.578	260.12	-0.356
7.579	260.12	-0.356
7.580	260.12	-0.356
7.581	260.12	-0.356
7.582	260.11	-0.356
7.583	260.11	-0.356
7.584	260.11	-0.356
7.585	260.11	-0.356
7.586	260.11	-0.356
7.587	260.11	-0.356
7.588	260.11	-0.356
7.589	260.11	-0.356
7.590	260.11	-0.356
7.591	260.11	-0.356
7.592	260.10	-0.356
7.593	260.10	-0.356
7.594	260.10	-0.356
7.595	260.10	-0.356
7.596	260.10	-0.356
7.597	260.10	-0.356
7.598	260.10	-0.356
7.599	260.10	-0.356
7.600	260.10	-0.356
7.601	260.10	-0.356
7.602	260.09	-0.356
7.603	260.09	-0.356
7.604	260.09	-0.356
7.605	260.09	-0.356
7.606	260.09	-0.356
7.607	260.09	-0.356
7.608	260.09	-0.356
7.609	260.09	-0.356
7.610	260.09	-0.356
7.611	260.09	-0.356
7.612	260.08	-0.356
7.613	260.08	-0.356
7.614	260.08	-0.356
7.615	260.08	-0.356
7.616	260.08	-0.356
7.617	260.08	-0.356
7.618	260.08	-0.356
7.619	260.08	-0.357
7.620	260.08	-0.357
7.621	260.08	-0.357
7.622	260.08	-0.357
7.623	260.07	-0.357
7.624	260.07	-0.357
7.625	260.07	-0.357
7.626	260.07	-0.357
7.627	260.07	-0.357
7.628	260.07	-0.357
7.629	260.07	-0.357
7.630	260.07	-0.357
7.631	260.07	-0.357
7.632	260.07	-0.357
7.633	260.07	-0.357
7.634	260.06	-0.357
7.635	260.06	-0.357
7.636	260.06	-0.357
7.637	260.06	-0.357
7.638	260.06	-0.357
7.639	260.06	-0.357
7.640	260.06	-0.357
7.641	260.06	-0.357
7.642	260.06	-0.357
7.643	260.06	-0.357
7.644	260.06	-0.357
7.645	260.05	-0.357
7.646	260.05	-0.357
7.647	260.05	-0.357
7.648	260.05	-0.357
7.649	260.05	-0.357
7.650	260.05	-0.357
7.651	260.05	-0.357
7.652	260.05	-0.357
7.653	260.05	-0.357
7.654	260.05	-0.357
7.655	260.05	-0.357
7.656	260.04	-0.357
7.657	260.04	-0.357
7.658	260.04	-0.357
7.659	260.04	-0.357
7.660	260.04	-0.357
7.661	260.04	-0.357
7.662	260.04	-0.357
7.663	260.04	-0.357
7.664	260.04	-0.357
7.665	260.04	-0.357
7.666	260.04	-0.357
7.667	260.04	-0.357
7.668	260.03	-0.357
7.669	260.03	-0.357
7.670	260.03	-0.357
7.671	260.03	-0.357
7.672	260.03	-0.357
7.673	260.03	-0.358
7.674	260.03	-0.358
7.675	260.03	-0.358
7.676	260.03	-0.358
7.677	260.03	-0.358
7.678	260.03	-0.358
7.679	260.03	-0.358
7.680	260.02	-0.358
7.681	260.02	-0.358
7.682	260.02	-0.358
7.683	260.02	-0.358
7.684	260.02	-0.358
7.685	260.02	-0.358
7.686	260.02	-0.358
7.687	260.02	-0.358
7.688	260.02	-0.358
7.689	260.02	-0.358
7.690	260.02	-0.358
7.691	260.02	-0.358
7.692	260.01	-0.358
7.693	260.01	-0.358
7.694	260.01	-0.358
7.695	260.01	-0.358
7.696	260.01	-0.358
7.697	260.01	-0.358
7.698	260.01	-0.358
7.699	260.01	-0.358
7.700	260.01	-0.358
7.701	260.01	-0.358
7.702	260.01	-0.358
7.703	260.01	-0.358
7.704	260.01	-0.358
7.705	260.00	-0.358
7.706	260.00	-0.358
7.707	260.00	-0.358
7.708	260.00	-0.358
7.709	260.00	-0.358
7.710	260.00	-0.358
7.711	260.00	-0.358
7.712	260.00	-0.358
7.713	260.00	-0.358
7.714	260.00	-0.358
7.715	260.00	-0.358
7.716	260.00	-0.358
7.717	260.00	-0.358
7.718	259.99	-0.358
7.719	259.99	-0.358
7.720	259.99	-0.358
7.721	259.99	-0.358
7.722	259.99	-0.358
7.723	259.99	-0.358
7.724	259.99	-0.358
7.725	259.99	-0.358
7.726	259.99	-0.358
7.727	259.99	-0.358
7.728	259.99	-0.358
7.729	259.99	-0.358
7.730	259.99	-0.358
7.731	259.98	-0.358
7.732	259.98	-0.358
7.733	259.98	-0.358
7.734	259.98	-0.358
7.735	259.98	-0.358
7.736	259.98	-0.359
7.737	259.98	-0.359
7.738	259.98	-0.359
7.739	259.98	-0.359
7.740	259.98	-0.359
7.741	259.98	-0.359
7.742	259.98	-0.359
7.743	259.98	-0.359
7.744	259.98	-0.359
7.745	259.97	-0.359
7.746	259.97	-0.359
7.747	259.97	-0.359
7.748	259.97	-0.359
7.749	259.97	-0.359
7.750	259.97	-0.359
7.751	259.97	-0.359
7.752	259.97	-0.359
7.753	259.97	-0.359
7.754	259.97	-0.359
7.755	259.97	-0.359
7.756	259.97	-0.359
7.757	259.97	-0.359
7.758	259.97	-0.359
7.759	259.97	-0.359
7.760	259.96	-0.359
7.761	259.96	-0.359
7.762	259.96	-0.359
7.763	259.96	-0.359
7.764	259.96	-0.359
7.765	259.96	-0.359
7.766	259.96	-0.359
7.767	259.96	-0.359
7.768	259.96	-0.359
7.769	259.96	-0.359
7.770	259.96	-0.359
7.771	259.96	-0.359
7.772	259.96	-0.359
7.773	259.96	-0.359
7.774	259.96	-0.359
7.775	259.95	-0.359
7.776	259.95	-0.359
7.777	259.95	-0.359
7.778	259.95	-0.359
7.779	259.95	-0.359
7.780	259.95	-0.359
7.781	259.95	-0.359
7.782	259.95	-0.359
7.783	259.95	-0.359
7.784	259.95	-0.359
7.785	259.95	-0.359
7.786	259.95	-0.359
7.787	259.95	-0.359
7.788	259.95	-0.359
7.789	259.95	-0.359
7.790	259.95	-0.359
7.791	259.95	-0.359
7.792	259.94	-0.359
7.793	259.94	-0.359
7.794	259.94	-0.359
7.795	259.94	-0.359
7.796	259.94	-0.359
7.797	259.94	-0.359
7.798	259.94	-0.359
7.799	259.94	-0.359
7.800	259.94	-0.359
7.801	259.94	-0.359
7.802	259.94	-0.359
7.803	259.94	-0.359
7.804	259.94	-0.359
7.805	259.94	-0.359
7.806	259.94	-0.359
7.807	259.94	-0.359
7.808	259.94	-0.359
7.809	259.93	-0.359
7.810	259.93	-0.359
7.811	259.93	-0.359
7.812	259.93	-0.360
7.813	259.93	-0.360
7.814	259.93	-0.360
7.815	259.93	-0.360
7.816	259.93	-0.360
7.817	259.93	-0.360
7.818	259.93	-0.360
7.819	259.93	-0.360
7.820	259.93	-0.360
7.821	259.93	-0.360
7.822	259.93	-0.360
7.823	259.93	-0.360
7.824	259.93	-0.360
7.825	259.93	-0.360
7.826	259.93	-0.360
7.827	259.93	-0.360
7.828	259.92	-0.360
