/* DATA DESCRIPTION:
Citation:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas methane (CH4), final spline-smoothed data of calculated radiative forcing (Version 1) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871270, 
	In supplement to: Köhler, P et al. (2017): A 156 kyr smoothed history of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing. Earth System Science Data, 9(1), 363-387, https://doi.org/10.5194/essd-9-363-2017
New version:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas methane (CH4), final spline-smoothed data of calculated radiative forcing (Version 2). PANGAEA, https://doi.org/10.1594/PANGAEA.876009
Related to:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous records of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing since the penultimate glacial maximum. Earth System Science Data Discussions, https://doi.org/10.5194/essd-2017-6
Comment:	Final spline with 156278 lines (-66 BP to 156211 BP).
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html)
	Methane, dry-air mole fraction [nmol/mol] (CH4) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: nmol/mol = ppb
	Radiative forcing of atmospheric methane [W/m**2] (dR_[CH4]) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: = 1.4 * 0.036 * (sqrt(CH4/ppb)-sqrt(742))
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	312556 data points
*/
Age [ka BP]	CH4 [nmol/mol]	dR_[CH4] [W/m**2]
33.381	424.50	-0.334
33.382	424.57	-0.334
33.383	424.63	-0.334
33.384	424.70	-0.334
33.385	424.77	-0.334
33.386	424.84	-0.334
33.387	424.92	-0.334
33.388	424.99	-0.334
33.389	425.07	-0.334
33.390	425.16	-0.334
33.391	425.24	-0.334
33.392	425.33	-0.333
33.393	425.42	-0.333
33.394	425.51	-0.333
33.395	425.60	-0.333
33.396	425.70	-0.333
33.397	425.80	-0.333
33.398	425.91	-0.333
33.399	426.02	-0.333
33.400	426.13	-0.332
33.401	426.24	-0.332
33.402	426.36	-0.332
33.403	426.48	-0.332
33.404	426.60	-0.332
33.405	426.73	-0.332
33.406	426.86	-0.332
33.407	427.00	-0.331
33.408	427.14	-0.331
33.409	427.28	-0.331
33.410	427.43	-0.331
33.411	427.58	-0.331
33.412	427.74	-0.331
33.413	427.90	-0.330
33.414	428.06	-0.330
33.415	428.23	-0.330
33.416	428.41	-0.330
33.417	428.58	-0.329
33.418	428.77	-0.329
33.419	428.95	-0.329
33.420	429.14	-0.329
33.421	429.34	-0.329
33.422	429.54	-0.328
33.423	429.74	-0.328
33.424	429.95	-0.328
33.425	430.16	-0.328
33.426	430.37	-0.327
33.427	430.59	-0.327
33.428	430.82	-0.327
33.429	431.04	-0.326
33.430	431.27	-0.326
33.431	431.51	-0.326
33.432	431.74	-0.326
33.433	431.99	-0.325
33.434	432.23	-0.325
33.435	432.48	-0.325
33.436	432.73	-0.324
33.437	432.98	-0.324
33.438	433.24	-0.324
33.439	433.50	-0.324
33.440	433.77	-0.323
33.441	434.03	-0.323
33.442	434.30	-0.323
33.443	434.58	-0.322
33.444	434.85	-0.322
33.445	435.13	-0.322
33.446	435.41	-0.321
33.447	435.70	-0.321
33.448	435.98	-0.321
33.449	436.27	-0.320
33.450	436.57	-0.320
33.451	436.86	-0.319
33.452	437.16	-0.319
33.453	437.46	-0.319
33.454	437.76	-0.318
33.455	438.06	-0.318
33.456	438.37	-0.318
33.457	438.68	-0.317
33.458	438.99	-0.317
33.459	439.30	-0.317
33.460	439.61	-0.316
33.461	439.93	-0.316
33.462	440.25	-0.315
33.463	440.57	-0.315
33.464	440.89	-0.315
33.465	441.22	-0.314
33.466	441.54	-0.314
33.467	441.87	-0.313
33.468	442.20	-0.313
33.469	442.53	-0.313
33.470	442.86	-0.312
33.471	443.19	-0.312
33.472	443.52	-0.311
33.473	443.86	-0.311
33.474	444.20	-0.311
33.475	444.53	-0.310
33.476	444.87	-0.310
33.477	445.21	-0.309
33.478	445.55	-0.309
33.479	445.89	-0.309
33.480	446.24	-0.308
33.481	446.58	-0.308
33.482	446.92	-0.307
33.483	447.27	-0.307
33.484	447.61	-0.307
33.485	447.96	-0.306
33.486	448.31	-0.306
33.487	448.65	-0.305
33.488	449.00	-0.305
33.489	449.35	-0.305
33.490	449.69	-0.304
33.491	450.04	-0.304
33.492	450.39	-0.303
33.493	450.74	-0.303
33.494	451.09	-0.302
33.495	451.44	-0.302
33.496	451.78	-0.302
33.497	452.13	-0.301
33.498	452.48	-0.301
33.499	452.83	-0.300
33.500	453.18	-0.300
33.501	453.52	-0.300
33.502	453.87	-0.299
33.503	454.22	-0.299
33.504	454.56	-0.298
33.505	454.91	-0.298
33.506	455.25	-0.298
33.507	455.60	-0.297
33.508	455.94	-0.297
33.509	456.28	-0.296
33.510	456.62	-0.296
33.511	456.96	-0.295
33.512	457.30	-0.295
33.513	457.64	-0.295
33.514	457.98	-0.294
33.515	458.32	-0.294
33.516	458.65	-0.294
33.517	458.99	-0.293
33.518	459.32	-0.293
33.519	459.65	-0.292
33.520	459.98	-0.292
33.521	460.31	-0.292
33.522	460.64	-0.291
33.523	460.96	-0.291
33.524	461.29	-0.290
33.525	461.61	-0.290
33.526	461.93	-0.290
33.527	462.26	-0.289
33.528	462.58	-0.289
33.529	462.89	-0.289
33.530	463.21	-0.288
33.531	463.53	-0.288
33.532	463.84	-0.287
33.533	464.16	-0.287
33.534	464.47	-0.287
33.535	464.78	-0.286
33.536	465.09	-0.286
33.537	465.40	-0.286
33.538	465.70	-0.285
33.539	466.01	-0.285
33.540	466.31	-0.285
33.541	466.62	-0.284
33.542	466.92	-0.284
33.543	467.22	-0.283
33.544	467.52	-0.283
33.545	467.82	-0.283
33.546	468.11	-0.282
33.547	468.41	-0.282
33.548	468.70	-0.282
33.549	469.00	-0.281
33.550	469.29	-0.281
33.551	469.58	-0.281
33.552	469.87	-0.280
33.553	470.15	-0.280
33.554	470.44	-0.280
33.555	470.73	-0.279
33.556	471.01	-0.279
33.557	471.29	-0.279
33.558	471.58	-0.278
33.559	471.86	-0.278
33.560	472.13	-0.278
33.561	472.41	-0.277
33.562	472.69	-0.277
33.563	472.96	-0.277
33.564	473.24	-0.276
33.565	473.51	-0.276
33.566	473.78	-0.276
33.567	474.05	-0.276
33.568	474.32	-0.275
33.569	474.59	-0.275
33.570	474.86	-0.275
33.571	475.12	-0.274
33.572	475.39	-0.274
33.573	475.65	-0.274
33.574	475.91	-0.273
33.575	476.17	-0.273
33.576	476.43	-0.273
33.577	476.69	-0.272
33.578	476.94	-0.272
33.579	477.20	-0.272
33.580	477.45	-0.272
33.581	477.70	-0.271
33.582	477.96	-0.271
33.583	478.21	-0.271
33.584	478.46	-0.270
33.585	478.70	-0.270
33.586	478.95	-0.270
33.587	479.20	-0.270
33.588	479.44	-0.269
33.589	479.68	-0.269
33.590	479.92	-0.269
33.591	480.17	-0.268
33.592	480.40	-0.268
33.593	480.64	-0.268
33.594	480.88	-0.268
33.595	481.11	-0.267
33.596	481.35	-0.267
33.597	481.58	-0.267
33.598	481.81	-0.267
33.599	482.04	-0.266
33.600	482.27	-0.266
33.601	482.50	-0.266
33.602	482.73	-0.266
33.603	482.96	-0.265
33.604	483.18	-0.265
33.605	483.40	-0.265
33.606	483.63	-0.265
33.607	483.85	-0.264
33.608	484.07	-0.264
33.609	484.28	-0.264
33.610	484.50	-0.264
33.611	484.72	-0.263
33.612	484.93	-0.263
33.613	485.14	-0.263
33.614	485.36	-0.263
33.615	485.57	-0.262
33.616	485.77	-0.262
33.617	485.98	-0.262
33.618	486.19	-0.262
33.619	486.39	-0.261
33.620	486.59	-0.261
33.621	486.80	-0.261
33.622	486.99	-0.261
33.623	487.19	-0.260
33.624	487.39	-0.260
33.625	487.58	-0.260
33.626	487.77	-0.260
33.627	487.97	-0.260
33.628	488.15	-0.259
33.629	488.34	-0.259
33.630	488.53	-0.259
33.631	488.71	-0.259
33.632	488.89	-0.258
33.633	489.07	-0.258
33.634	489.25	-0.258
33.635	489.43	-0.258
33.636	489.60	-0.258
33.637	489.77	-0.257
33.638	489.94	-0.257
33.639	490.11	-0.257
33.640	490.28	-0.257
33.641	490.44	-0.257
33.642	490.60	-0.257
33.643	490.76	-0.256
33.644	490.92	-0.256
33.645	491.07	-0.256
33.646	491.22	-0.256
33.647	491.38	-0.256
33.648	491.52	-0.255
33.649	491.67	-0.255
33.650	491.81	-0.255
33.651	491.95	-0.255
33.652	492.09	-0.255
33.653	492.23	-0.255
33.654	492.36	-0.255
33.655	492.50	-0.254
33.656	492.63	-0.254
33.657	492.76	-0.254
33.658	492.88	-0.254
33.659	493.01	-0.254
33.660	493.14	-0.254
33.661	493.26	-0.254
33.662	493.38	-0.253
33.663	493.50	-0.253
33.664	493.62	-0.253
33.665	493.74	-0.253
33.666	493.86	-0.253
33.667	493.97	-0.253
33.668	494.09	-0.253
33.669	494.21	-0.252
33.670	494.32	-0.252
33.671	494.44	-0.252
33.672	494.55	-0.252
33.673	494.67	-0.252
33.674	494.78	-0.252
33.675	494.90	-0.252
33.676	495.01	-0.252
33.677	495.13	-0.251
33.678	495.24	-0.251
33.679	495.36	-0.251
33.680	495.48	-0.251
33.681	495.60	-0.251
33.682	495.71	-0.251
33.683	495.83	-0.251
33.684	495.95	-0.250
33.685	496.07	-0.250
33.686	496.20	-0.250
33.687	496.32	-0.250
33.688	496.45	-0.250
33.689	496.57	-0.250
33.690	496.70	-0.250
33.691	496.83	-0.249
33.692	496.96	-0.249
33.693	497.10	-0.249
33.694	497.23	-0.249
33.695	497.37	-0.249
33.696	497.51	-0.249
33.697	497.65	-0.249
33.698	497.80	-0.248
33.699	497.94	-0.248
33.700	498.09	-0.248
33.701	498.24	-0.248
33.702	498.39	-0.248
33.703	498.55	-0.248
33.704	498.70	-0.247
33.705	498.86	-0.247
33.706	499.02	-0.247
33.707	499.18	-0.247
33.708	499.34	-0.247
33.709	499.50	-0.246
33.710	499.67	-0.246
33.711	499.83	-0.246
33.712	500.00	-0.246
33.713	500.16	-0.246
33.714	500.33	-0.246
33.715	500.50	-0.245
33.716	500.67	-0.245
33.717	500.84	-0.245
33.718	501.01	-0.245
33.719	501.17	-0.245
33.720	501.34	-0.244
33.721	501.51	-0.244
33.722	501.68	-0.244
33.723	501.85	-0.244
33.724	502.02	-0.244
33.725	502.19	-0.243
33.726	502.36	-0.243
33.727	502.53	-0.243
33.728	502.70	-0.243
33.729	502.86	-0.243
33.730	503.03	-0.242
33.731	503.20	-0.242
33.732	503.36	-0.242
33.733	503.52	-0.242
33.734	503.69	-0.242
33.735	503.85	-0.242
33.736	504.01	-0.241
33.737	504.17	-0.241
33.738	504.32	-0.241
33.739	504.48	-0.241
33.740	504.63	-0.241
33.741	504.78	-0.241
33.742	504.94	-0.240
33.743	505.08	-0.240
33.744	505.23	-0.240
33.745	505.37	-0.240
33.746	505.52	-0.240
33.747	505.65	-0.240
33.748	505.79	-0.239
33.749	505.93	-0.239
33.750	506.06	-0.239
33.751	506.19	-0.239
33.752	506.31	-0.239
33.753	506.43	-0.239
33.754	506.55	-0.239
33.755	506.67	-0.238
33.756	506.78	-0.238
33.757	506.89	-0.238
33.758	506.99	-0.238
33.759	507.09	-0.238
33.760	507.19	-0.238
33.761	507.28	-0.238
33.762	507.37	-0.238
33.763	507.45	-0.238
33.764	507.53	-0.237
33.765	507.61	-0.237
33.766	507.68	-0.237
33.767	507.75	-0.237
33.768	507.81	-0.237
33.769	507.86	-0.237
33.770	507.91	-0.237
33.771	507.96	-0.237
33.772	508.00	-0.237
33.773	508.03	-0.237
33.774	508.06	-0.237
33.775	508.08	-0.237
33.776	508.10	-0.237
33.777	508.11	-0.237
33.778	508.11	-0.237
33.779	508.11	-0.237
33.780	508.10	-0.237
33.781	508.09	-0.237
33.782	508.07	-0.237
33.783	508.04	-0.237
33.784	508.00	-0.237
33.785	507.96	-0.237
33.786	507.91	-0.237
33.787	507.85	-0.237
33.788	507.79	-0.237
33.789	507.72	-0.237
33.790	507.64	-0.237
33.791	507.55	-0.237
33.792	507.46	-0.238
33.793	507.36	-0.238
33.794	507.24	-0.238
33.795	507.12	-0.238
33.796	507.00	-0.238
33.797	506.86	-0.238
33.798	506.71	-0.238
33.799	506.56	-0.239
33.800	506.39	-0.239
33.801	506.22	-0.239
33.802	506.04	-0.239
33.803	505.85	-0.239
33.804	505.64	-0.240
33.805	505.43	-0.240
33.806	505.21	-0.240
33.807	504.97	-0.240
33.808	504.73	-0.241
33.809	504.48	-0.241
33.810	504.21	-0.241
33.811	503.93	-0.241
33.812	503.65	-0.242
33.813	503.35	-0.242
33.814	503.04	-0.242
33.815	502.72	-0.243
33.816	502.38	-0.243
33.817	502.04	-0.244
33.818	501.68	-0.244
33.819	501.31	-0.244
33.820	500.93	-0.245
33.821	500.53	-0.245
33.822	500.12	-0.246
33.823	499.70	-0.246
33.824	499.27	-0.247
33.825	498.82	-0.247
33.826	498.36	-0.248
33.827	497.89	-0.248
33.828	497.40	-0.249
33.829	496.90	-0.249
33.830	496.39	-0.250
33.831	495.86	-0.251
33.832	495.31	-0.251
33.833	494.75	-0.252
33.834	494.18	-0.252
33.835	493.59	-0.253
33.836	492.99	-0.254
33.837	492.37	-0.255
33.838	491.74	-0.255
33.839	491.10	-0.256
33.840	490.44	-0.257
33.841	489.77	-0.257
33.842	489.09	-0.258
33.843	488.39	-0.259
33.844	487.68	-0.260
33.845	486.97	-0.261
33.846	486.24	-0.262
33.847	485.50	-0.262
33.848	484.76	-0.263
33.849	484.00	-0.264
33.850	483.24	-0.265
33.851	482.46	-0.266
33.852	481.68	-0.267
33.853	480.90	-0.268
33.854	480.10	-0.269
33.855	479.30	-0.269
33.856	478.50	-0.270
33.857	477.68	-0.271
33.858	476.87	-0.272
33.859	476.05	-0.273
33.860	475.22	-0.274
33.861	474.39	-0.275
33.862	473.56	-0.276
33.863	472.73	-0.277
33.864	471.89	-0.278
33.865	471.05	-0.279
33.866	470.21	-0.280
33.867	469.37	-0.281
33.868	468.53	-0.282
33.869	467.69	-0.283
33.870	466.85	-0.284
33.871	466.01	-0.285
33.872	465.17	-0.286
33.873	464.33	-0.287
33.874	463.50	-0.288
33.875	462.67	-0.289
33.876	461.84	-0.290
33.877	461.02	-0.291
33.878	460.20	-0.292
33.879	459.38	-0.293
33.880	458.57	-0.294
33.881	457.77	-0.295
33.882	456.97	-0.295
33.883	456.18	-0.296
33.884	455.39	-0.297
33.885	454.62	-0.298
33.886	453.84	-0.299
33.887	453.08	-0.300
33.888	452.32	-0.301
33.889	451.57	-0.302
33.890	450.83	-0.303
33.891	450.09	-0.304
33.892	449.36	-0.304
33.893	448.64	-0.305
33.894	447.92	-0.306
33.895	447.21	-0.307
33.896	446.51	-0.308
33.897	445.82	-0.309
33.898	445.14	-0.310
33.899	444.46	-0.310
33.900	443.79	-0.311
33.901	443.13	-0.312
33.902	442.48	-0.313
33.903	441.83	-0.313
33.904	441.19	-0.314
33.905	440.57	-0.315
33.906	439.95	-0.316
33.907	439.34	-0.316
33.908	438.73	-0.317
33.909	438.14	-0.318
33.910	437.55	-0.319
33.911	436.98	-0.319
33.912	436.41	-0.320
33.913	435.85	-0.321
33.914	435.30	-0.321
33.915	434.76	-0.322
33.916	434.23	-0.323
33.917	433.71	-0.323
33.918	433.19	-0.324
33.919	432.69	-0.324
33.920	432.20	-0.325
33.921	431.71	-0.326
33.922	431.24	-0.326
33.923	430.78	-0.327
33.924	430.32	-0.327
33.925	429.88	-0.328
33.926	429.44	-0.328
33.927	429.02	-0.329
33.928	428.60	-0.329
33.929	428.20	-0.330
33.930	427.81	-0.330
33.931	427.42	-0.331
33.932	427.05	-0.331
33.933	426.69	-0.332
33.934	426.33	-0.332
33.935	425.99	-0.333
33.936	425.66	-0.333
33.937	425.33	-0.333
33.938	425.02	-0.334
33.939	424.71	-0.334
33.940	424.41	-0.335
33.941	424.13	-0.335
33.942	423.85	-0.335
33.943	423.58	-0.336
33.944	423.32	-0.336
33.945	423.06	-0.336
33.946	422.82	-0.337
33.947	422.58	-0.337
33.948	422.36	-0.337
33.949	422.14	-0.337
33.950	421.93	-0.338
33.951	421.72	-0.338
33.952	421.53	-0.338
33.953	421.34	-0.338
33.954	421.16	-0.339
33.955	420.99	-0.339
33.956	420.82	-0.339
33.957	420.67	-0.339
33.958	420.52	-0.339
33.959	420.37	-0.340
33.960	420.24	-0.340
33.961	420.11	-0.340
33.962	419.99	-0.340
33.963	419.87	-0.340
33.964	419.76	-0.340
33.965	419.66	-0.340
33.966	419.57	-0.341
33.967	419.48	-0.341
33.968	419.40	-0.341
33.969	419.32	-0.341
33.970	419.25	-0.341
33.971	419.18	-0.341
33.972	419.12	-0.341
33.973	419.07	-0.341
33.974	419.02	-0.341
33.975	418.98	-0.341
33.976	418.94	-0.341
33.977	418.91	-0.341
33.978	418.88	-0.341
33.979	418.86	-0.341
33.980	418.85	-0.341
33.981	418.83	-0.341
33.982	418.83	-0.341
33.983	418.82	-0.341
33.984	418.82	-0.341
33.985	418.83	-0.341
33.986	418.84	-0.341
33.987	418.85	-0.341
33.988	418.87	-0.341
33.989	418.89	-0.341
33.990	418.91	-0.341
33.991	418.94	-0.341
33.992	418.97	-0.341
33.993	419.01	-0.341
33.994	419.04	-0.341
33.995	419.08	-0.341
33.996	419.12	-0.341
33.997	419.17	-0.341
33.998	419.22	-0.341
33.999	419.26	-0.341
34.000	419.32	-0.341
34.001	419.37	-0.341
34.002	419.43	-0.341
34.003	419.48	-0.341
34.004	419.54	-0.341
34.005	419.60	-0.340
34.006	419.66	-0.340
34.007	419.72	-0.340
34.008	419.79	-0.340
34.009	419.85	-0.340
34.010	419.92	-0.340
34.011	419.98	-0.340
34.012	420.05	-0.340
34.013	420.12	-0.340
34.014	420.18	-0.340
34.015	420.25	-0.340
34.016	420.32	-0.340
34.017	420.39	-0.340
34.018	420.45	-0.339
34.019	420.52	-0.339
34.020	420.58	-0.339
34.021	420.65	-0.339
34.022	420.71	-0.339
34.023	420.78	-0.339
34.024	420.84	-0.339
34.025	420.90	-0.339
34.026	420.96	-0.339
34.027	421.02	-0.339
34.028	421.08	-0.339
34.029	421.13	-0.339
34.030	421.19	-0.339
34.031	421.24	-0.338
34.032	421.29	-0.338
34.033	421.34	-0.338
34.034	421.39	-0.338
34.035	421.44	-0.338
34.036	421.48	-0.338
34.037	421.53	-0.338
34.038	421.57	-0.338
34.039	421.61	-0.338
34.040	421.65	-0.338
34.041	421.68	-0.338
34.042	421.71	-0.338
34.043	421.75	-0.338
34.044	421.77	-0.338
34.045	421.80	-0.338
34.046	421.82	-0.338
34.047	421.85	-0.338
34.048	421.86	-0.338
34.049	421.88	-0.338
34.050	421.89	-0.338
34.051	421.90	-0.338
34.052	421.91	-0.338
34.053	421.92	-0.338
34.054	421.92	-0.338
34.055	421.92	-0.338
34.056	421.91	-0.338
34.057	421.90	-0.338
34.058	421.89	-0.338
34.059	421.88	-0.338
34.060	421.86	-0.338
34.061	421.84	-0.338
34.062	421.81	-0.338
34.063	421.79	-0.338
34.064	421.75	-0.338
34.065	421.72	-0.338
34.066	421.68	-0.338
34.067	421.64	-0.338
34.068	421.59	-0.338
34.069	421.54	-0.338
34.070	421.49	-0.338
34.071	421.43	-0.338
34.072	421.37	-0.338
34.073	421.31	-0.338
34.074	421.24	-0.338
34.075	421.18	-0.339
34.076	421.11	-0.339
34.077	421.03	-0.339
34.078	420.96	-0.339
34.079	420.88	-0.339
34.080	420.81	-0.339
34.081	420.73	-0.339
34.082	420.65	-0.339
34.083	420.56	-0.339
34.084	420.48	-0.339
34.085	420.40	-0.339
34.086	420.31	-0.340
34.087	420.22	-0.340
34.088	420.14	-0.340
34.089	420.05	-0.340
34.090	419.96	-0.340
34.091	419.87	-0.340
34.092	419.79	-0.340
34.093	419.70	-0.340
34.094	419.61	-0.340
34.095	419.52	-0.341
34.096	419.44	-0.341
34.097	419.35	-0.341
34.098	419.26	-0.341
34.099	419.18	-0.341
34.100	419.10	-0.341
34.101	419.01	-0.341
34.102	418.93	-0.341
34.103	418.85	-0.341
34.104	418.78	-0.341
34.105	418.70	-0.342
34.106	418.63	-0.342
34.107	418.55	-0.342
34.108	418.48	-0.342
34.109	418.42	-0.342
34.110	418.35	-0.342
34.111	418.29	-0.342
34.112	418.23	-0.342
34.113	418.17	-0.342
34.114	418.12	-0.342
34.115	418.06	-0.342
34.116	418.01	-0.342
34.117	417.97	-0.342
34.118	417.92	-0.343
34.119	417.88	-0.343
34.120	417.84	-0.343
34.121	417.80	-0.343
34.122	417.77	-0.343
34.123	417.73	-0.343
34.124	417.71	-0.343
34.125	417.68	-0.343
34.126	417.66	-0.343
34.127	417.63	-0.343
34.128	417.62	-0.343
34.129	417.60	-0.343
34.130	417.59	-0.343
34.131	417.58	-0.343
34.132	417.57	-0.343
34.133	417.57	-0.343
34.134	417.57	-0.343
34.135	417.57	-0.343
34.136	417.58	-0.343
34.137	417.59	-0.343
34.138	417.60	-0.343
34.139	417.61	-0.343
34.140	417.63	-0.343
34.141	417.65	-0.343
34.142	417.68	-0.343
34.143	417.71	-0.343
34.144	417.74	-0.343
34.145	417.77	-0.343
34.146	417.81	-0.343
34.147	417.85	-0.343
34.148	417.89	-0.343
34.149	417.94	-0.343
34.150	417.99	-0.342
34.151	418.04	-0.342
34.152	418.10	-0.342
34.153	418.16	-0.342
34.154	418.22	-0.342
34.155	418.29	-0.342
34.156	418.36	-0.342
34.157	418.43	-0.342
34.158	418.50	-0.342
34.159	418.58	-0.342
34.160	418.66	-0.342
34.161	418.74	-0.342
34.162	418.82	-0.341
34.163	418.90	-0.341
34.164	418.99	-0.341
34.165	419.08	-0.341
34.166	419.17	-0.341
34.167	419.26	-0.341
34.168	419.35	-0.341
34.169	419.44	-0.341
34.170	419.54	-0.341
34.171	419.64	-0.340
34.172	419.73	-0.340
34.173	419.83	-0.340
34.174	419.93	-0.340
34.175	420.03	-0.340
34.176	420.13	-0.340
34.177	420.23	-0.340
34.178	420.34	-0.340
34.179	420.44	-0.339
34.180	420.54	-0.339
34.181	420.65	-0.339
34.182	420.75	-0.339
34.183	420.85	-0.339
34.184	420.96	-0.339
34.185	421.06	-0.339
34.186	421.16	-0.339
34.187	421.27	-0.338
34.188	421.37	-0.338
34.189	421.47	-0.338
34.190	421.57	-0.338
34.191	421.67	-0.338
34.192	421.77	-0.338
34.193	421.87	-0.338
34.194	421.97	-0.338
34.195	422.06	-0.337
34.196	422.16	-0.337
34.197	422.25	-0.337
34.198	422.35	-0.337
34.199	422.44	-0.337
34.200	422.53	-0.337
34.201	422.62	-0.337
34.202	422.70	-0.337
34.203	422.79	-0.337
34.204	422.87	-0.336
34.205	422.95	-0.336
34.206	423.03	-0.336
34.207	423.11	-0.336
34.208	423.18	-0.336
34.209	423.26	-0.336
34.210	423.33	-0.336
34.211	423.39	-0.336
34.212	423.46	-0.336
34.213	423.52	-0.336
34.214	423.58	-0.336
34.215	423.64	-0.336
34.216	423.69	-0.335
34.217	423.74	-0.335
34.218	423.79	-0.335
34.219	423.84	-0.335
34.220	423.88	-0.335
34.221	423.92	-0.335
34.222	423.95	-0.335
34.223	423.98	-0.335
34.224	424.01	-0.335
34.225	424.03	-0.335
34.226	424.05	-0.335
34.227	424.07	-0.335
34.228	424.08	-0.335
34.229	424.09	-0.335
34.230	424.09	-0.335
34.231	424.09	-0.335
34.232	424.09	-0.335
34.233	424.08	-0.335
34.234	424.07	-0.335
34.235	424.06	-0.335
34.236	424.04	-0.335
34.237	424.02	-0.335
34.238	423.99	-0.335
34.239	423.97	-0.335
34.240	423.94	-0.335
34.241	423.90	-0.335
34.242	423.87	-0.335
34.243	423.83	-0.335
34.244	423.78	-0.335
34.245	423.74	-0.335
34.246	423.69	-0.335
34.247	423.64	-0.336
34.248	423.58	-0.336
34.249	423.53	-0.336
34.250	423.47	-0.336
34.251	423.41	-0.336
34.252	423.35	-0.336
34.253	423.28	-0.336
34.254	423.22	-0.336
34.255	423.15	-0.336
34.256	423.08	-0.336
34.257	423.01	-0.336
34.258	422.93	-0.336
34.259	422.86	-0.336
34.260	422.78	-0.337
34.261	422.70	-0.337
34.262	422.62	-0.337
34.263	422.54	-0.337
34.264	422.46	-0.337
34.265	422.37	-0.337
34.266	422.29	-0.337
34.267	422.20	-0.337
34.268	422.11	-0.337
34.269	422.03	-0.337
34.270	421.94	-0.338
34.271	421.85	-0.338
34.272	421.76	-0.338
34.273	421.67	-0.338
34.274	421.58	-0.338
34.275	421.49	-0.338
34.276	421.39	-0.338
34.277	421.30	-0.338
34.278	421.21	-0.339
34.279	421.11	-0.339
34.280	421.02	-0.339
34.281	420.93	-0.339
34.282	420.83	-0.339
34.283	420.74	-0.339
34.284	420.64	-0.339
34.285	420.55	-0.339
34.286	420.45	-0.339
34.287	420.36	-0.340
34.288	420.26	-0.340
34.289	420.17	-0.340
34.290	420.08	-0.340
34.291	419.98	-0.340
34.292	419.89	-0.340
34.293	419.80	-0.340
34.294	419.70	-0.340
34.295	419.61	-0.340
34.296	419.52	-0.341
34.297	419.43	-0.341
34.298	419.34	-0.341
34.299	419.25	-0.341
34.300	419.16	-0.341
34.301	419.07	-0.341
34.302	418.98	-0.341
34.303	418.89	-0.341
34.304	418.80	-0.341
34.305	418.72	-0.342
34.306	418.64	-0.342
34.307	418.55	-0.342
34.308	418.47	-0.342
34.309	418.39	-0.342
34.310	418.31	-0.342
34.311	418.23	-0.342
34.312	418.15	-0.342
34.313	418.08	-0.342
34.314	418.00	-0.342
34.315	417.93	-0.343
34.316	417.86	-0.343
34.317	417.79	-0.343
34.318	417.72	-0.343
34.319	417.65	-0.343
34.320	417.59	-0.343
34.321	417.53	-0.343
34.322	417.47	-0.343
34.323	417.41	-0.343
34.324	417.36	-0.343
34.325	417.30	-0.343
34.326	417.25	-0.343
34.327	417.21	-0.343
34.328	417.16	-0.343
34.329	417.12	-0.344
34.330	417.08	-0.344
34.331	417.04	-0.344
34.332	417.01	-0.344
34.333	416.98	-0.344
34.334	416.95	-0.344
34.335	416.92	-0.344
34.336	416.90	-0.344
34.337	416.88	-0.344
34.338	416.87	-0.344
34.339	416.86	-0.344
34.340	416.85	-0.344
34.341	416.84	-0.344
34.342	416.84	-0.344
34.343	416.85	-0.344
34.344	416.85	-0.344
34.345	416.86	-0.344
34.346	416.88	-0.344
34.347	416.89	-0.344
34.348	416.92	-0.344
34.349	416.94	-0.344
34.350	416.96	-0.344
34.351	416.99	-0.344
34.352	417.03	-0.344
34.353	417.06	-0.344
34.354	417.10	-0.344
34.355	417.13	-0.344
34.356	417.17	-0.343
34.357	417.21	-0.343
34.358	417.26	-0.343
34.359	417.30	-0.343
34.360	417.35	-0.343
34.361	417.39	-0.343
34.362	417.44	-0.343
34.363	417.49	-0.343
34.364	417.54	-0.343
34.365	417.59	-0.343
34.366	417.63	-0.343
34.367	417.68	-0.343
34.368	417.73	-0.343
34.369	417.78	-0.343
34.370	417.83	-0.343
34.371	417.88	-0.343
34.372	417.92	-0.343
